ID KODE NAMA JENIS_PETAK WARNA
1 GO Petak_Mulai SPESIAL DEFAULT
3 DNU Dana_Umum KARTU DEFAULT
5 PPH Pajak_Penghasilan PAJAK DEFAULT
8 FES Festival FESTIVAL DEFAULT
11 PEN Penjara SPESIAL DEFAULT
16 DNU Dana_Umum KARTU DEFAULT
21 BBP Bebas_Parkir SPESIAL DEFAULT
23 KSP Kesempatan KARTU DEFAULT
26 FES Festival FESTIVAL DEFAULT
31 PPJ Petak_Pergi_ke_Penjara SPESIAL DEFAULT
34 FES Festival FESTIVAL DEFAULT
37 KSP Kesempatan KARTU DEFAULT
39 PBM Pajak_Barang_Mewah PAJAK DEFAULT
42 DNU Dana_Umum KARTU DEFAULT
46 KSP Kesempatan KARTU DEFAULT
50 PPH Pajak_Penghasilan PAJAK DEFAULT
54 FES Festival FESTIVAL DEFAULT
58 KSP Kesempatan KARTU DEFAULT
